crtype,25,175,3,175,1,0,0,4,0,0,0,0,0,0,0,4,,0,4104,0,16,47,1,,1,,0,0,0,Latin1_General_CI_AS_KS_WS,0x0904100000
crstart,25,61,0,61,8,23,3,5,0,0,0,0,0,0,0,5,,0,0,0,8,111,12,,23,3,0,0,1,,0x0000000000
crend,25,61,0,61,8,23,3,6,0,0,0,0,0,0,0,6,,0,0,0,8,111,12,,23,3,0,0,1,,0x0000000000
crrows,25,127,1,127,8,19,0,7,0,0,0,0,0,0,0,7,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
crerrors,25,56,1,56,4,10,0,8,0,0,0,0,0,0,0,8,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
crschver,25,173,3,173,8,0,0,9,0,0,0,0,0,0,0,9,,0,0,0,16,45,3,,8,,0,0,0,,0x0000000000
crtsnext,25,173,2,173,8,0,0,10,0,0,0,0,0,0,0,10,,0,0,0,56,37,3,,8,,0,0,1,,0x0000000000
sensitivity,25,48,1,48,1,3,0,11,0,0,0,0,0,0,0,11,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
bXVTDocidUseBaseT,25,48,1,48,1,3,0,12,0,0,0,0,0,0,0,12,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
batchsize,25,56,1,56,4,10,0,13,0,0,0,0,0,0,0,13,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
nextdocid,25,127,1,127,8,19,0,14,0,0,0,0,0,0,0,14,,0,0,0,0,63,0,,19,0,0,0,0,,0x0000000000
fgid,25,56,1,56,4,10,0,15,0,0,0,0,0,0,0,15,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
id,27,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
name,27,231,3,256,256,0,0,2,0,0,0,0,0,0,0,2,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
type,27,175,3,175,1,0,0,3,0,0,0,0,0,0,0,3,,0,4104,0,16,47,1,,1,,0,0,0,Latin1_General_CI_AS_KS_WS,0x0904100000
sid,27,165,2,165,85,0,0,4,0,0,0,0,0,0,0,4,,0,0,0,24,37,4,,85,,0,0,1,,0x0000000000
password,27,165,2,165,256,0,0,5,0,0,0,0,0,0,0,5,,0,0,0,24,37,4,,256,,0,0,1,,0x0000000000
dfltsch,27,231,2,256,256,0,0,6,0,0,0,0,0,0,0,6,,0,872468488,0,24,39,18,,128,,0,0,1,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
status,27,56,1,56,4,10,0,7,0,0,0,0,0,0,0,7,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
created,27,61,1,61,8,23,3,8,0,0,0,0,0,0,0,8,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
modified,27,61,1,61,8,23,3,9,0,0,0,0,0,0,0,9,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
deflanguage,27,231,2,256,256,0,0,10,0,0,0,0,0,0,0,10,,0,872468488,0,24,39,18,,128,,0,0,1,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
id,28,56,1,56,4,10,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
name,28,231,3,256,256,0,0,2,0,0,0,0,0,0,0,2,,0,872468488,0,16,39,18,,128,,0,0,0,SQL_Latin1_General_CP1_CI_AS,0x0904D00034
sid,28,165,2,165,85,0,0,3,0,0,0,0,0,0,0,3,,0,0,0,24,37,4,,85,,0,0,1,,0x0000000000
status,28,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
status2,28,56,1,56,4,10,0,5,0,0,0,0,0,0,0,5,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
category,28,56,1,56,4,10,0,6,0,0,0,0,0,0,0,6,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
crdate,28,61,1,61,8,23,3,7,0,0,0,0,0,0,0,7,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
modified,28,61,1,61,8,23,3,8,0,0,0,0,0,0,0,8,,0,0,0,0,61,12,,23,3,0,0,0,,0x0000000000
svcbrkrguid,28,36,1,36,16,0,0,9,0,0,0,0,0,0,0,9,,0,0,0,0,37,0,,0,,0,0,0,,0x0000000000
scope,28,56,1,56,4,10,0,10,0,0,0,0,0,0,0,10,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
cmptlevel,28,48,1,48,1,3,0,11,0,0,0,0,0,0,0,11,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
class,29,48,1,48,1,3,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,48,5,,3,0,0,0,0,,0x0000000000
id,29,56,1,56,4,10,0,2,0,0,0,0,0,0,0,2,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
subid,29,56,1,56,4,10,0,3,0,0,0,0,0,0,0,3,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
grantee,29,56,1,56,4,10,0,4,0,0,0,0,0,0,0,4,,0,0,0,0,56,7,,10,0,0,0,0,,0x0000000000
